                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.458,                0.25532,                      1,                  1.396,              0.0001071,              0.0001071,              0.0001071
                      2,                 1.3899,                0.29787,                      1,                  1.392,             0.00022024,             0.00022024,             0.00022024
                      3,                 1.2958,                0.32979,                      1,                 1.3723,             0.00033226,             0.00033226,             0.00033226
                      4,                 1.2387,                0.37234,                      1,                 1.3554,             0.00044314,             0.00044314,             0.00044314
                      5,                 1.1841,                0.38298,                      1,                 1.3394,             0.00055289,             0.00055289,             0.00055289
                      6,                 1.0864,                0.41489,                      1,                 1.3109,             0.00066151,             0.00066151,             0.00066151
                      7,                 1.1036,                0.45745,                      1,                 1.2997,             0.00069279,             0.00069279,             0.00069279
                      8,                 1.0494,                0.41489,                      1,                 1.2926,             0.00069279,             0.00069279,             0.00069279
                      9,                 1.0086,                0.44681,                      1,                 1.2861,             0.00068926,             0.00068926,             0.00068926
                     10,                0.97396,                0.45745,                      1,                 1.2842,             0.00068573,             0.00068573,             0.00068573
                     11,                0.97131,                0.45745,                      1,                 1.2769,             0.00068219,             0.00068219,             0.00068219
                     12,                0.99061,                0.42553,                      1,                 1.2817,             0.00067866,             0.00067866,             0.00067866
                     13,                0.87617,                0.43617,                      1,                 1.2853,             0.00067512,             0.00067512,             0.00067512
                     14,                0.89806,                0.45745,                      1,                 1.2759,             0.00067159,             0.00067159,             0.00067159
                     15,                0.82323,                0.47872,                      1,                 1.2707,             0.00066805,             0.00066805,             0.00066805
                     16,                0.86059,                0.48936,                      1,                 1.2574,             0.00066452,             0.00066452,             0.00066452
                     17,                 0.7994,                0.47872,                      1,                 1.2559,             0.00066099,             0.00066099,             0.00066099
                     18,                0.85471,                0.45745,                      1,                 1.2605,             0.00065745,             0.00065745,             0.00065745
                     19,                0.74913,                0.45745,                      1,                  1.257,             0.00065392,             0.00065392,             0.00065392
                     20,                0.71458,                0.46809,                      1,                 1.2476,             0.00065038,             0.00065038,             0.00065038
                     21,                0.69518,                0.47872,                      1,                 1.2442,             0.00064685,             0.00064685,             0.00064685
                     22,                0.76214,                0.53191,                      1,                 1.2339,             0.00064331,             0.00064331,             0.00064331
                     23,                0.72372,                    0.5,                      1,                 1.2246,             0.00063978,             0.00063978,             0.00063978
                     24,                0.74131,                0.48936,                      1,                 1.2293,             0.00063625,             0.00063625,             0.00063625
                     25,                0.67418,                    0.5,                      1,                 1.2316,             0.00063271,             0.00063271,             0.00063271
                     26,                0.69931,                0.48936,                      1,                  1.241,             0.00062918,             0.00062918,             0.00062918
                     27,                0.73598,                0.44681,                      1,                 1.2622,             0.00062564,             0.00062564,             0.00062564
                     28,                0.63429,                0.48936,                      1,                  1.263,             0.00062211,             0.00062211,             0.00062211
                     29,                0.61414,                0.46809,                      1,                 1.2678,             0.00061857,             0.00061857,             0.00061857
                     30,                0.68047,                0.41489,                      1,                 1.2785,             0.00061504,             0.00061504,             0.00061504
                     31,                0.64079,                0.43617,                      1,                  1.267,             0.00061151,             0.00061151,             0.00061151
                     32,                0.59185,                0.48936,                      1,                 1.2565,             0.00060797,             0.00060797,             0.00060797
                     33,                0.51774,                0.48936,                      1,                  1.246,             0.00060444,             0.00060444,             0.00060444
                     34,                0.57403,                0.51064,                      1,                 1.2334,              0.0006009,              0.0006009,              0.0006009
                     35,                0.56908,                0.47872,                      1,                 1.2332,             0.00059737,             0.00059737,             0.00059737
                     36,                0.57952,                0.46809,                      1,                 1.2295,             0.00059383,             0.00059383,             0.00059383
                     37,                0.55117,                0.45745,                      1,                 1.2343,              0.0005903,              0.0005903,              0.0005903
                     38,                0.48159,                0.48936,                      1,                 1.2317,             0.00058677,             0.00058677,             0.00058677
                     39,                0.54591,                0.51064,                      1,                 1.2321,             0.00058323,             0.00058323,             0.00058323
                     40,                0.54638,                0.45745,                      1,                 1.2587,              0.0005797,              0.0005797,              0.0005797
                     41,                 0.5416,                0.46809,                      1,                 1.2603,             0.00057616,             0.00057616,             0.00057616
                     42,                0.47728,                0.46809,                      1,                   1.25,             0.00057263,             0.00057263,             0.00057263
                     43,                0.55616,                0.46809,                      1,                  1.247,             0.00056909,             0.00056909,             0.00056909
                     44,                 0.5128,                0.48936,                      1,                  1.243,             0.00056556,             0.00056556,             0.00056556
                     45,                0.51912,                0.46809,                      1,                 1.2465,             0.00056203,             0.00056203,             0.00056203
                     46,                0.44484,                0.46809,                      1,                 1.2565,             0.00055849,             0.00055849,             0.00055849
                     47,                0.52859,                0.43617,                      1,                  1.276,             0.00055496,             0.00055496,             0.00055496
                     48,                0.48488,                0.45745,                      1,                 1.2589,             0.00055142,             0.00055142,             0.00055142
                     49,                 0.4524,                    0.5,                      1,                 1.2371,             0.00054789,             0.00054789,             0.00054789
                     50,                0.39144,                0.45745,                      1,                 1.2506,             0.00054435,             0.00054435,             0.00054435
                     51,                0.46029,                0.44681,                      1,                 1.2556,             0.00054082,             0.00054082,             0.00054082
                     52,                0.52417,                0.46809,                      1,                 1.2399,             0.00053728,             0.00053728,             0.00053728
                     53,                0.46224,                0.45745,                      1,                 1.2404,             0.00053375,             0.00053375,             0.00053375
                     54,                0.43482,                0.44681,                      1,                 1.2507,             0.00053022,             0.00053022,             0.00053022
                     55,                0.51762,                0.44681,                      1,                 1.2527,             0.00052668,             0.00052668,             0.00052668
                     56,                 0.4783,                0.46809,                      1,                 1.2407,             0.00052315,             0.00052315,             0.00052315
                     57,                0.46871,                0.46809,                      1,                 1.2362,             0.00051961,             0.00051961,             0.00051961
                     58,                0.41508,                0.46809,                      1,                 1.2422,             0.00051608,             0.00051608,             0.00051608
                     59,                0.40347,                0.45745,                      1,                 1.2477,             0.00051254,             0.00051254,             0.00051254
                     60,                0.43486,                0.43617,                      1,                 1.2513,             0.00050901,             0.00050901,             0.00050901
                     61,                 0.4352,                0.44681,                      1,                 1.2415,             0.00050548,             0.00050548,             0.00050548
                     62,                0.43832,                0.42553,                      1,                 1.2442,             0.00050194,             0.00050194,             0.00050194
                     63,                0.45281,                0.46809,                      1,                  1.253,             0.00049841,             0.00049841,             0.00049841
                     64,                 0.4167,                0.43617,                      1,                 1.2639,             0.00049487,             0.00049487,             0.00049487
                     65,                0.42744,                0.44681,                      1,                 1.2761,             0.00049134,             0.00049134,             0.00049134
                     66,                0.37511,                0.45745,                      1,                 1.2577,              0.0004878,              0.0004878,              0.0004878
                     67,                0.47751,                0.46809,                      1,                 1.2416,             0.00048427,             0.00048427,             0.00048427
                     68,                0.33688,                0.48936,                      1,                 1.2459,             0.00048074,             0.00048074,             0.00048074
                     69,                0.43356,                0.46809,                      1,                 1.2606,              0.0004772,              0.0004772,              0.0004772
                     70,                0.42778,                0.46809,                      1,                 1.2508,             0.00047367,             0.00047367,             0.00047367
                     71,                0.41693,                0.44681,                      1,                 1.2618,             0.00047013,             0.00047013,             0.00047013
                     72,                0.40892,                0.44681,                      1,                 1.2495,              0.0004666,              0.0004666,              0.0004666
                     73,                0.36537,                0.47872,                      1,                 1.2501,             0.00046306,             0.00046306,             0.00046306
                     74,                0.40819,                0.45745,                      1,                 1.2392,             0.00045953,             0.00045953,             0.00045953
                     75,                0.42976,                0.47872,                      1,                 1.2487,               0.000456,               0.000456,               0.000456
                     76,                0.45787,                0.47872,                      1,                  1.243,             0.00045246,             0.00045246,             0.00045246
                     77,                0.40662,                0.48936,                      1,                 1.2442,             0.00044893,             0.00044893,             0.00044893
                     78,                0.39302,                    0.5,                      1,                 1.2469,             0.00044539,             0.00044539,             0.00044539
                     79,                0.38245,                0.48936,                      1,                 1.2409,             0.00044186,             0.00044186,             0.00044186
                     80,                0.38875,                0.52128,                      1,                 1.2326,             0.00043832,             0.00043832,             0.00043832
                     81,                0.43932,                0.51064,                      1,                 1.2375,             0.00043479,             0.00043479,             0.00043479
                     82,                 0.4053,                0.48936,                      1,                 1.2348,             0.00043126,             0.00043126,             0.00043126
                     83,                0.41832,                    0.5,                      1,                 1.2404,             0.00042772,             0.00042772,             0.00042772
                     84,                0.39897,                    0.5,                      1,                  1.238,             0.00042419,             0.00042419,             0.00042419
                     85,                0.34814,                0.51064,                      1,                 1.2384,             0.00042065,             0.00042065,             0.00042065
                     86,                0.38197,                    0.5,                      1,                 1.2451,             0.00041712,             0.00041712,             0.00041712
                     87,                0.39545,                0.47872,                      1,                 1.2499,             0.00041358,             0.00041358,             0.00041358
                     88,                0.43286,                0.45745,                      1,                 1.2633,             0.00041005,             0.00041005,             0.00041005
                     89,                0.33171,                0.44681,                      1,                 1.2572,             0.00040652,             0.00040652,             0.00040652
                     90,                0.37248,                0.45745,                      1,                 1.2651,             0.00040298,             0.00040298,             0.00040298
                     91,                0.36292,                0.45745,                      1,                 1.2585,             0.00039945,             0.00039945,             0.00039945
                     92,                0.33172,                0.45745,                      1,                 1.2529,             0.00039591,             0.00039591,             0.00039591
                     93,                0.31666,                0.45745,                      1,                 1.2542,             0.00039238,             0.00039238,             0.00039238
                     94,                0.35395,                0.46809,                      1,                 1.2494,             0.00038884,             0.00038884,             0.00038884
                     95,                0.34018,                0.44681,                      1,                 1.2446,             0.00038531,             0.00038531,             0.00038531
                     96,                 0.3696,                0.47872,                      1,                 1.2406,             0.00038178,             0.00038178,             0.00038178
                     97,                0.32686,                0.48936,                      1,                 1.2347,             0.00037824,             0.00037824,             0.00037824
                     98,                0.32492,                0.48936,                      1,                   1.23,             0.00037471,             0.00037471,             0.00037471
                     99,                0.37943,                0.48936,                      1,                 1.2416,             0.00037117,             0.00037117,             0.00037117
                    100,                0.34038,                0.47872,                      1,                 1.2499,             0.00036764,             0.00036764,             0.00036764
                    101,                0.37532,                0.47872,                      1,                 1.2587,              0.0003641,              0.0003641,              0.0003641
                    102,                0.25148,                0.45745,                      1,                 1.2642,             0.00036057,             0.00036057,             0.00036057
                    103,                0.32728,                0.41489,                      1,                 1.2741,             0.00035704,             0.00035704,             0.00035704
                    104,                0.29834,                0.42553,                      1,                 1.2719,              0.0003535,              0.0003535,              0.0003535
                    105,                0.28465,                0.42553,                      1,                 1.2621,             0.00034997,             0.00034997,             0.00034997
                    106,                0.33458,                0.42553,                      1,                  1.264,             0.00034643,             0.00034643,             0.00034643
                    107,                0.33836,                0.42553,                      1,                 1.2706,              0.0003429,              0.0003429,              0.0003429
                    108,                0.33946,                0.41489,                      1,                 1.2597,             0.00033936,             0.00033936,             0.00033936
                    109,                0.32177,                0.43617,                      1,                 1.2644,             0.00033583,             0.00033583,             0.00033583
                    110,                0.37581,                0.43617,                      1,                 1.2651,              0.0003323,              0.0003323,              0.0003323
                    111,                0.34818,                0.43617,                      1,                 1.2629,             0.00032876,             0.00032876,             0.00032876
                    112,                0.35657,                0.45745,                      1,                 1.2572,             0.00032523,             0.00032523,             0.00032523
                    113,                0.28106,                0.44681,                      1,                 1.2558,             0.00032169,             0.00032169,             0.00032169
                    114,                0.35188,                0.42553,                      1,                 1.2482,             0.00031816,             0.00031816,             0.00031816
                    115,                0.29556,                0.42553,                      1,                 1.2578,             0.00031462,             0.00031462,             0.00031462
                    116,                0.38431,                0.46809,                      1,                 1.2576,             0.00031109,             0.00031109,             0.00031109
                    117,                0.33486,                0.44681,                      1,                 1.2652,             0.00030756,             0.00030756,             0.00030756
                    118,                0.29982,                0.45745,                      1,                 1.2639,             0.00030402,             0.00030402,             0.00030402
                    119,                0.31286,                0.44681,                      1,                  1.257,             0.00030049,             0.00030049,             0.00030049
                    120,                0.38068,                0.43617,                      1,                 1.2618,             0.00029695,             0.00029695,             0.00029695
                    121,                0.28862,                0.43617,                      1,                 1.2673,             0.00029342,             0.00029342,             0.00029342
                    122,                0.29023,                0.42553,                      1,                 1.2809,             0.00028988,             0.00028988,             0.00028988
